base.id,base.currenthp,base.morale,base.populationList,base.status
0,100,49,2,peace
1,100,49,2,peace

0,100,48,2,peace
1,100,68,2,peace

0,100,47,2,peace
1,100,87,2,peace

0,100,66,2,peace
1,100,86,2,peace

0,100,65,2,peace
1,100,85,2,peace

0,100,64,2,peace
1,100,104,2,peace

0,100,63,2,peace
1,100,70,3,peace

0,98,82,2,war
1,98,79,2,war

0,96,81,2,war
1,98,98,2,war

0,92,80,2,war
1,96,127,2,war

0,86,99,2,war
1,94,50,3,war

0,80,98,2,war
1,92,69,3,war

0,76,117,2,war
1,88,58,2,war

0,74,70,3,war
1,84,47,1,war

0,72,69,3,war
1,80,66,1,war

0,72,88,3,war

