base.id,base.currenthp,base.morale,base.populationList,base.status
0,100,49,4,peace
1,100,69,4,peace
2,100,49,4,peace
3,100,49,4,peace
4,100,49,4,peace
5,100,49,4,peace
6,100,49,4,peace
7,100,49,4,peace
8,100,69,4,peace
9,100,69,4,peace
10,100,49,4,peace
11,100,49,4,peace
12,100,49,4,peace
13,100,49,4,peace

0,100,48,4,peace
1,100,88,4,peace
2,100,48,4,peace
3,100,48,4,peace
4,100,68,4,peace
5,100,48,4,peace
6,100,58,4,peace
7,100,48,4,peace
8,100,68,4,peace
9,100,68,4,peace
10,100,48,4,peace
11,100,68,4,peace
12,100,48,4,peace
13,100,48,4,peace

0,100,47,4,peace
1,100,87,4,peace
2,100,47,4,peace
3,100,47,4,peace
4,100,67,4,peace
5,100,47,4,peace
6,100,57,4,peace
7,100,47,4,peace
8,100,67,4,peace
9,100,67,4,peace
10,100,37,3,war
11,100,67,4,peace
12,100,47,4,war
13,100,47,4,peace

0,100,46,4,peace
1,100,86,4,peace
2,100,46,4,peace
3,100,46,4,peace
4,100,66,4,peace
5,100,46,4,peace
6,100,56,4,peace
7,100,46,4,peace
8,100,66,4,peace
9,100,66,4,peace
10,100,36,3,war
11,100,66,4,peace
12,100,66,4,war
13,100,46,4,peace

0,100,45,4,peace
1,100,85,4,peace
2,100,45,4,peace
3,100,45,4,peace
4,100,85,4,peace
5,100,45,4,peace
6,100,55,4,peace
7,100,45,4,peace
8,100,65,4,peace
9,100,65,4,peace
10,100,35,3,war
11,100,65,4,peace
12,100,65,4,war
13,100,45,4,peace

0,100,44,4,peace
1,100,84,4,peace
2,100,44,4,peace
3,100,44,4,peace
4,100,84,4,peace
5,100,44,4,peace
6,100,54,4,peace
7,100,44,4,peace
8,100,64,4,peace
9,100,64,4,peace
10,100,34,3,war
11,100,64,4,peace
12,96,64,4,war
13,100,44,4,peace

0,100,43,4,peace
1,100,83,4,peace
2,100,43,4,war
3,100,63,4,peace
4,100,83,4,peace
5,100,43,4,peace
6,100,53,4,peace
7,100,43,4,peace
8,100,63,4,peace
9,100,63,4,peace
10,98,23,2,war
11,100,53,3,war
12,94,63,4,war
13,100,43,4,peace

0,100,62,4,peace
1,100,82,4,peace
2,100,42,4,war
3,100,82,4,peace
4,100,82,4,peace
5,100,42,4,peace
6,100,52,4,peace
7,100,42,4,peace
8,100,82,4,peace
9,100,62,4,peace
10,96,22,2,war
11,100,52,3,war
12,92,62,4,war
13,100,42,4,peace

0,100,61,4,peace
1,100,81,4,peace
2,100,41,4,war
3,100,81,4,peace
4,100,81,4,peace
5,100,41,4,peace
6,100,51,4,peace
7,100,41,4,peace
8,100,81,4,peace
9,100,61,4,peace
10,94,11,1,war
11,100,71,3,war
12,90,51,3,war
13,100,41,4,peace

0,100,60,4,peace
1,100,80,4,peace
2,100,40,4,war
3,100,80,4,peace
4,100,80,4,peace
5,100,40,4,peace
6,100,50,4,peace
7,100,40,4,peace
8,100,50,5,peace
9,100,60,4,peace
10,94,10,1,war
11,100,70,3,war
12,88,40,2,war
13,100,40,4,peace

0,100,59,4,peace
1,100,79,4,peace
2,100,39,4,war
3,100,79,4,peace
4,100,79,4,peace
5,100,39,4,peace
6,100,49,4,peace
7,100,39,4,peace
8,100,49,5,peace
9,100,59,4,peace
10,94,9,1,war
11,100,69,3,war
12,88,39,2,war
13,100,39,4,peace

0,100,58,4,peace
1,100,98,4,peace
2,100,38,4,war
3,100,78,4,war
4,100,78,4,peace
5,100,28,3,war
6,100,48,4,peace
7,100,38,4,peace
