base.id,base.currenthp,base.morale,base.populationList,base.status
0,100,49,3,peace
1,100,49,3,peace
2,100,69,3,peace
3,100,49,3,peace
4,100,49,3,peace
5,100,49,3,peace
6,100,49,3,peace
7,100,49,3,peace
8,100,49,3,peace

0,100,48,3,peace
1,100,48,3,peace
2,100,68,3,peace
3,100,48,3,peace
4,100,48,3,peace
5,100,48,3,peace
6,100,48,3,peace
7,100,48,3,peace
8,100,48,3,peace

0,100,47,3,peace
1,100,47,3,peace
2,100,67,3,peace
3,100,47,3,peace
4,100,47,3,peace
5,100,47,3,peace
6,100,47,3,peace
7,100,47,3,peace
8,100,47,3,peace

0,100,46,3,peace
1,100,46,3,peace
2,100,66,3,peace
3,100,46,3,peace
4,100,46,3,peace
5,100,46,3,peace
6,100,46,3,peace
7,100,46,3,peace
8,100,46,3,peace

0,100,45,3,peace
1,100,45,3,peace
2,100,65,3,peace
3,100,45,3,peace
4,100,45,3,peace
5,100,45,3,peace
6,100,45,3,peace
7,100,45,3,peace
8,100,45,3,peace

0,100,44,3,peace
1,100,44,3,peace
2,100,64,3,peace
3,100,44,3,peace
4,100,44,3,peace
5,100,44,3,peace
6,100,44,3,peace
7,100,44,3,peace
8,100,44,3,peace

0,100,63,3,peace
1,100,43,3,peace
2,100,63,3,peace
3,100,63,3,peace
4,100,43,3,peace
5,100,43,3,peace
6,100,43,3,peace
7,100,43,3,peace
8,100,43,3,peace

0,100,62,3,peace
1,100,42,3,peace
2,100,62,3,peace
3,100,62,3,peace
4,100,42,3,peace
5,100,42,3,peace
6,100,42,3,peace
7,100,42,3,peace
8,100,42,3,peace

0,100,61,3,peace
1,100,41,3,peace
2,100,61,3,peace
3,100,61,3,peace
4,100,41,3,peace
5,100,41,3,peace
6,100,41,3,peace
7,100,41,3,peace
8,100,41,3,peace

0,100,60,3,peace
1,100,40,3,peace
2,100,60,3,peace
3,100,60,3,peace
4,100,60,3,peace
5,100,40,3,peace
6,100,40,3,peace
7,100,40,3,peace
8,100,40,3,peace

0,100,59,3,peace
